acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,1/9/2015,1,11.6793745,0,0
0,1/10/2015,2,37.28488733,0,0
0,1/11/2015,2,53.63374633,0,0
0,1/12/2015,1,33.48926967,0,0
0,1/13/2015,1,64.77967767,0,0
0,1/14/2015,1,151.6175768,1,0
0,1/15/2015,1,142.3959638,0,0
0,1/16/2015,0,0,0,0
0,1/17/2015,1,9.8495625,0,0
0,1/18/2015,1,38.330548,0,0
0,1/19/2015,1,98.3275675,1,0
0,1/20/2015,0,0,0,0
0,1/21/2015,0,0,0,0
0,1/22/2015,1,218.3096902,1,0
0,1/23/2015,1,280.7733192,1,0
0,1/24/2015,1,32.27602017,0,0
0,1/25/2015,1,65.467882,0,0
0,1/26/2015,1,74.806089,1,0
0,1/27/2015,1,199.5010495,1,0
0,1/28/2015,1,55.23495933,0,0
0,1/29/2015,1,212.6456687,1,0
0,1/30/2015,1,96.00371917,1,0
0,1/31/2015,1,94.333214,0,0
0,2/1/2015,1,40.564986,1,0
0,2/2/2015,2,75.525712,0,0
0,2/3/2015,1,147.728229,0,0
0,2/4/2015,1,38.52997017,1,0
0,2/5/2015,2,84.95653433,0,0
0,2/6/2015,1,101.3783303,1,0
0,2/7/2015,1,104.065235,1,0
0,2/8/2015,0,0,0,0
0,2/9/2015,1,102.0631568,0,0
0,2/10/2015,1,104.6797623,1,0
0,2/11/2015,1,401.115233,2,0
0,2/12/2015,1,75.988601,0,0
0,2/13/2015,1,29.54253767,1,0
0,2/14/2015,1,111.8835475,0,0
0,2/15/2015,0,0,0,0
0,2/16/2015,0,0,0,0
0,2/17/2015,0,0,0,0
0,2/18/2015,0,0,0,0
0,2/19/2015,0,0,0,0
0,2/20/2015,1,32.65054483,0,0
0,2/21/2015,1,62.90922533,0,0
0,2/22/2015,1,77.89106817,1,0
0,2/23/2015,1,149.8862248,0,0
0,2/24/2015,0,0,0,0
0,2/25/2015,1,148.0621588,1,0
0,2/26/2015,2,42.34054917,1,0
0,2/27/2015,2,32.479962,0,0
0,2/28/2015,0,0,0,0
0,3/1/2015,2,76.54511267,0,0
0,3/2/2015,2,52.32868683,0,0
0,3/3/2015,2,72.93125283,0,0
0,3/4/2015,2,75.3168575,0,0
0,3/5/2015,1,58.72874733,0,0
0,3/6/2015,2,61.35937317,0,0
0,3/7/2015,0,0,0,0
0,3/8/2015,0,0,0,0
0,3/9/2015,1,13.03449133,0,0
0,3/10/2015,2,238.2826777,1,0
0,3/11/2015,2,90.317473,0,0
0,3/12/2015,1,20.36500967,0,0
0,3/13/2015,0,0,0,0
0,3/14/2015,0,0,0,0
0,3/15/2015,0,0,0,0
0,3/16/2015,2,164.3013078,0,0
0,3/17/2015,2,13.61274017,0,0
0,3/18/2015,2,28.96736533,1,0
0,3/19/2015,0,0,0,0
0,3/20/2015,0,0,0,0
0,3/21/2015,0,0,0,0
0,3/22/2015,0,0,0,0
0,3/23/2015,1,35.68798383,0,0
0,3/24/2015,1,142.7344815,1,0
0,3/25/2015,1,175.6848335,1,0
